Year,Age_Group,Gender,Smoking_Prevalence,Drug_Experimentation,Socioeconomic_Status,Peer_Influence,School_Programs,Family_Background,Mental_Health,Access_to_Counseling,Parental_Supervision,Substance_Education,Community_Support,Media_Influence
2023,60-69,Both,36.28,59.03,Middle,3,Yes,7,8,Yes,1,No,5,2
2023,50-59,Male,15.83,65.4,Low,5,Yes,4,5,No,4,Yes,5,2
2023,10-14,Both,11.23,48.93,Middle,2,Yes,9,2,No,5,Yes,8,8
2023,50-59,Female,6.95,11.01,High,8,Yes,7,1,Yes,7,No,8,4
2020,80+,Both,41.45,57.14,Low,1,No,10,2,Yes,8,Yes,5,9
2023,30-39,Female,41.62,35.57,Low,1,No,4,7,No,7,No,7,8
2023,25-29,Both,23.38,64.3,Low,9,No,4,5,Yes,3,No,5,5
2023,60-69,Male,34.51,30.55,High,2,No,4,2,Yes,5,No,5,6
2022,20-24,Both,37.54,20.89,High,5,No,7,9,No,9,No,2,4
2024,10-14,Male,47.78,26.48,High,3,Yes,2,10,Yes,9,No,2,9
2020,20-24,Male,40.66,36.24,Low,10,No,7,5,Yes,10,Yes,10,7
2024,70-79,Female,28.48,36.64,High,10,Yes,9,8,No,2,Yes,6,8
2020,60-69,Both,27.83,64.58,High,3,Yes,2,6,Yes,4,No,3,6
2022,30-39,Male,41.06,47.32,Low,3,No,1,9,Yes,2,Yes,8,3
2020,60-69,Both,24.76,65.08,Middle,9,No,2,1,Yes,6,No,2,7
2020,30-39,Both,49.06,48.66,Low,8,No,5,10,No,3,Yes,6,3
2021,40-49,Male,49.26,22.41,Low,10,No,8,10,No,8,No,2,1
2024,40-49,Both,18.18,17.11,High,1,No,3,9,No,9,No,8,1
2021,70-79,Both,42.52,58.85,High,2,Yes,8,8,Yes,1,No,2,9
2022,80+,Male,7.88,45.21,Low,10,Yes,10,2,No,5,Yes,9,7
2021,80+,Female,39.94,45.3,High,3,Yes,7,2,No,4,Yes,7,6
2021,70-79,Both,42.92,10.21,High,9,Yes,6,7,Yes,2,Yes,4,10
2023,20-24,Both,8.21,15.7,Middle,3,Yes,4,1,Yes,8,No,1,2
2024,25-29,Both,18.59,65.63,Middle,2,Yes,3,6,No,6,No,2,6
2024,60-69,Male,45.99,51.65,High,1,No,10,6,Yes,8,No,5,3
2021,15-19,Female,6.73,54.86,Middle,2,Yes,7,5,No,2,No,9,5
2020,50-59,Both,7.44,33.54,Low,5,Yes,2,1,Yes,3,Yes,1,8
2020,40-49,Male,7.0,12.62,Low,7,No,10,3,Yes,7,Yes,1,4
2024,20-24,Female,17.7,45.11,Middle,9,Yes,5,1,No,4,No,3,10
2023,15-19,Female,42.42,12.38,Middle,10,Yes,10,10,Yes,4,Yes,7,5
2024,30-39,Both,28.85,28.35,Middle,1,Yes,6,10,No,6,Yes,8,10
2021,60-69,Both,10.55,36.15,Low,5,No,1,8,No,9,No,9,7
2023,30-39,Both,22.5,40.5,Middle,9,Yes,7,9,Yes,1,Yes,3,10
2022,70-79,Male,27.48,50.25,Low,1,No,1,7,Yes,5,No,5,7
2024,40-49,Both,6.63,18.05,High,2,Yes,3,2,No,7,No,9,6
2021,25-29,Male,8.28,19.4,Middle,6,Yes,9,6,No,7,Yes,2,1
2020,60-69,Male,8.92,32.42,High,3,No,8,4,Yes,9,Yes,7,4
2023,30-39,Male,29.57,69.28,Low,4,Yes,5,10,Yes,6,Yes,10,4
2023,20-24,Female,15.77,43.93,High,3,No,5,5,No,5,Yes,7,7
2023,30-39,Female,24.09,33.43,High,2,No,7,6,Yes,4,No,6,2
2020,15-19,Male,29.15,22.8,Middle,5,No,7,2,Yes,1,No,10,10
2022,30-39,Male,10.43,16.0,High,10,Yes,9,10,No,5,Yes,7,10
2020,25-29,Both,37.58,45.34,High,3,No,9,6,Yes,1,No,8,1
2021,20-24,Both,10.88,46.54,Middle,5,No,9,10,No,6,Yes,3,1
2020,30-39,Male,12.01,26.45,Middle,1,No,3,1,Yes,4,Yes,8,5
2024,25-29,Female,45.51,14.16,Low,5,Yes,9,9,No,6,Yes,6,5
2020,15-19,Both,7.86,39.07,High,6,Yes,3,6,Yes,4,No,2,9
2021,30-39,Male,9.52,49.18,Low,8,No,4,8,No,10,Yes,10,5
2021,50-59,Both,10.22,28.96,Middle,6,Yes,1,7,No,3,Yes,6,9
2023,80+,Both,32.56,49.41,Low,1,No,2,6,No,1,No,3,7
2020,10-14,Both,7.17,53.14,Middle,8,No,3,1,Yes,6,No,4,5
2024,60-69,Female,41.12,60.84,High,8,Yes,9,9,Yes,10,No,2,6
2021,25-29,Both,32.85,13.89,Middle,9,Yes,3,6,Yes,10,Yes,6,3
2023,40-49,Female,26.36,42.03,Low,1,No,6,10,No,10,No,9,7
2024,10-14,Both,40.36,65.09,Low,4,Yes,4,4,Yes,10,No,4,10
2020,80+,Both,21.61,65.06,Middle,5,No,4,4,No,8,Yes,2,3
2024,80+,Female,15.67,25.33,Middle,1,Yes,5,5,No,2,Yes,9,6
2020,70-79,Male,28.76,41.96,Low,1,No,10,9,No,5,No,2,7
2024,40-49,Both,8.88,47.16,Low,9,Yes,5,4,No,5,Yes,2,6
2021,80+,Female,24.49,62.62,High,3,Yes,3,1,No,9,Yes,10,2
2023,10-14,Male,14.23,36.93,Middle,9,Yes,5,5,Yes,2,No,4,4
2021,25-29,Both,33.14,13.09,Low,7,No,4,1,No,1,Yes,10,1
2021,70-79,Both,38.16,38.74,Middle,4,No,10,3,No,1,No,7,8
2022,15-19,Both,42.71,69.71,Low,9,Yes,4,7,Yes,2,No,4,6
2023,15-19,Male,9.67,37.92,High,3,Yes,2,4,No,7,No,3,1
2024,25-29,Male,32.76,59.81,Middle,4,No,6,5,Yes,10,Yes,4,4
2021,40-49,Female,39.96,62.14,Low,6,Yes,4,6,No,6,No,6,8
2021,50-59,Female,24.99,54.11,Middle,3,Yes,3,5,No,9,Yes,10,3
2021,30-39,Male,9.79,18.35,Low,1,Yes,7,5,Yes,10,No,7,8
2021,20-24,Female,23.41,37.84,Low,9,Yes,4,10,No,9,No,6,7
2023,20-24,Male,20.87,28.02,Low,3,No,1,5,No,1,Yes,9,3
2021,25-29,Male,44.17,65.13,Middle,4,Yes,3,2,No,5,Yes,10,9
2021,40-49,Female,5.4,38.27,Middle,10,Yes,9,3,No,9,Yes,6,6
2024,60-69,Male,40.16,40.9,Low,3,No,10,10,Yes,4,No,4,6
2023,70-79,Female,33.43,37.55,High,7,No,3,9,Yes,2,Yes,9,9
2023,20-24,Both,12.79,28.12,Middle,4,No,7,2,No,10,Yes,6,5
2022,10-14,Both,13.01,39.62,Low,8,No,9,10,Yes,9,Yes,5,7
2022,50-59,Male,23.85,67.88,Middle,9,Yes,6,6,Yes,10,No,4,1
2020,60-69,Male,35.52,13.41,Middle,9,No,9,3,Yes,1,No,5,4
2023,50-59,Female,22.63,66.68,High,6,No,4,7,Yes,9,Yes,6,9
2020,70-79,Male,41.8,30.25,Middle,3,No,4,1,Yes,6,Yes,6,3
2020,20-24,Both,10.72,46.91,Middle,3,Yes,1,9,No,5,No,5,10
2021,15-19,Female,32.36,62.76,Low,6,Yes,9,10,No,9,Yes,3,9
2023,20-24,Both,37.55,34.05,Middle,10,Yes,10,6,No,2,No,6,3
2023,70-79,Female,30.41,17.69,Low,6,No,4,9,Yes,2,Yes,1,1
2024,70-79,Both,24.16,31.23,Low,7,No,9,9,No,8,No,9,6
2021,15-19,Female,12.98,10.37,Middle,5,Yes,1,2,Yes,2,No,7,6
2022,80+,Male,24.26,49.94,Middle,9,No,10,7,No,10,Yes,1,3
2023,25-29,Both,7.52,19.2,Middle,7,No,6,5,No,5,Yes,5,9
2023,15-19,Both,25.23,28.76,Low,3,No,1,5,Yes,2,No,5,7
2024,50-59,Female,48.9,54.78,Low,5,Yes,1,6,No,7,Yes,4,7
2022,80+,Both,19.36,54.07,High,8,Yes,6,4,Yes,2,Yes,9,8
2023,30-39,Female,20.98,52.55,Middle,2,No,10,2,No,8,No,3,10
2021,60-69,Both,13.44,31.25,Middle,4,Yes,8,6,Yes,5,No,5,8
2023,60-69,Both,26.33,69.59,High,9,No,4,4,Yes,6,Yes,7,7
2021,60-69,Male,5.0,60.11,Middle,6,Yes,9,1,Yes,7,Yes,6,3
2023,70-79,Both,33.73,33.11,High,4,No,5,6,No,7,No,1,9
2020,15-19,Female,40.07,41.38,Middle,3,Yes,4,3,No,8,No,5,6
2024,60-69,Male,37.05,26.24,Low,2,No,5,3,Yes,8,No,8,9
2020,30-39,Female,27.73,11.43,Middle,10,No,8,7,Yes,1,Yes,9,1
2024,60-69,Both,11.89,36.74,Low,7,Yes,8,3,Yes,8,Yes,2,6
2022,40-49,Male,45.77,17.88,Low,5,Yes,3,9,Yes,7,Yes,3,3
2021,80+,Female,30.62,42.89,Middle,10,Yes,7,8,Yes,8,No,5,9
2022,15-19,Female,9.28,42.96,High,7,No,5,9,Yes,4,No,6,2
2022,20-24,Both,28.98,10.47,Middle,2,Yes,6,5,No,3,No,4,2
2022,20-24,Both,17.36,14.93,Low,10,No,1,6,No,7,Yes,2,2
2023,70-79,Male,9.4,16.24,Middle,6,No,4,2,Yes,6,No,8,10
2020,80+,Both,45.64,46.73,Low,7,Yes,3,5,No,10,No,4,5
2022,10-14,Male,46.06,36.94,High,10,Yes,8,9,Yes,8,Yes,8,2
2022,15-19,Female,20.03,37.61,Low,3,No,2,2,Yes,8,Yes,4,7
2024,80+,Female,47.67,54.46,Low,6,No,4,9,No,10,Yes,7,10
2020,40-49,Male,18.58,38.8,Low,8,Yes,5,3,Yes,4,No,8,1
2022,20-24,Male,42.73,18.6,Middle,10,No,3,8,Yes,10,Yes,3,9
2021,80+,Both,22.31,43.36,High,6,No,9,5,Yes,9,Yes,1,1
2021,30-39,Both,27.44,43.81,Middle,1,Yes,2,9,Yes,6,Yes,10,7
2023,70-79,Female,25.54,54.68,Middle,9,Yes,6,8,No,2,Yes,5,1
2023,30-39,Both,39.99,13.29,High,8,Yes,5,6,No,9,No,1,5
2023,50-59,Female,22.14,33.13,Middle,3,Yes,4,10,No,8,Yes,10,7
2023,25-29,Both,47.91,19.91,High,6,No,9,7,Yes,2,Yes,3,7
2023,25-29,Female,31.01,54.61,Low,8,No,4,2,Yes,9,Yes,1,2
2024,25-29,Female,47.46,23.96,Low,2,No,4,8,Yes,10,No,2,2
2022,60-69,Female,18.88,53.46,Low,10,Yes,10,7,Yes,3,No,1,9
2020,15-19,Female,48.4,24.73,High,8,No,10,10,No,6,Yes,8,5
2024,80+,Male,16.5,25.79,Middle,1,Yes,8,2,No,7,No,8,10
2024,60-69,Both,35.29,19.57,Low,9,Yes,3,8,Yes,10,No,4,5
2023,60-69,Both,49.78,11.12,High,9,No,3,3,No,9,No,1,5
2021,40-49,Both,48.08,19.88,Low,3,No,2,9,Yes,4,No,7,6
2023,80+,Both,10.47,18.35,Middle,9,Yes,7,7,No,7,No,4,9
2023,10-14,Male,44.49,68.47,Low,6,No,7,8,No,3,No,9,8
2021,30-39,Female,46.26,24.07,Low,6,No,4,10,No,5,No,1,4
2020,15-19,Female,34.16,21.63,Low,10,Yes,8,1,No,3,Yes,4,4
2020,25-29,Female,32.35,51.69,Middle,3,Yes,9,6,Yes,10,Yes,9,5
2022,70-79,Female,26.91,25.47,Middle,4,No,6,6,Yes,9,No,5,9
2023,20-24,Both,32.89,15.28,High,9,Yes,9,7,Yes,7,Yes,4,3
2020,25-29,Male,28.04,66.42,High,6,Yes,3,2,No,3,Yes,3,1
2021,60-69,Female,21.86,11.57,High,2,Yes,4,5,Yes,2,Yes,4,7
2024,15-19,Both,18.24,68.96,High,10,Yes,7,4,No,2,Yes,2,9
2020,10-14,Both,15.46,50.41,Middle,6,No,3,1,Yes,5,Yes,2,1
2024,60-69,Both,36.21,59.16,Low,3,No,7,4,Yes,9,No,10,8
2022,60-69,Male,6.51,16.46,High,8,No,4,7,Yes,10,No,5,10
2020,60-69,Male,13.65,18.04,Low,4,No,9,7,No,6,Yes,6,9
2021,70-79,Female,15.6,63.29,Middle,8,No,2,7,Yes,7,Yes,1,6
2022,20-24,Male,44.07,57.46,High,9,Yes,8,8,Yes,10,No,6,4
2023,60-69,Both,19.57,66.09,Middle,10,Yes,8,1,No,6,No,1,8
2021,60-69,Female,17.6,34.42,High,3,Yes,3,1,Yes,4,Yes,2,5
2024,70-79,Female,48.84,64.49,Low,7,No,6,6,No,10,No,8,8
2023,70-79,Both,21.69,39.35,High,7,Yes,4,3,No,9,No,8,2
2023,20-24,Both,37.54,63.22,Middle,7,No,5,1,Yes,2,Yes,1,4
2022,15-19,Male,38.7,53.72,High,3,Yes,5,2,No,10,No,1,8
2022,15-19,Both,15.69,55.69,Low,4,Yes,9,5,Yes,1,No,8,9
2020,70-79,Both,17.35,42.58,High,1,Yes,7,5,No,4,Yes,1,1
2023,10-14,Female,16.49,34.43,High,7,Yes,7,8,Yes,6,No,7,2
2021,25-29,Both,12.68,56.99,Low,3,Yes,9,1,Yes,3,No,9,6
2020,50-59,Female,45.09,11.87,High,3,Yes,9,7,No,2,No,2,3
2021,10-14,Both,37.41,22.99,Middle,3,Yes,5,10,Yes,6,No,1,8
2023,25-29,Female,21.29,13.79,Middle,10,Yes,1,4,No,5,Yes,1,10
2023,30-39,Both,9.07,38.43,High,10,Yes,9,4,No,3,Yes,3,10
2024,40-49,Female,27.42,43.97,Middle,6,Yes,9,3,No,4,Yes,10,7
2021,40-49,Female,47.67,62.45,Middle,1,Yes,8,7,Yes,5,Yes,4,2
2021,80+,Both,32.4,69.21,Low,6,Yes,8,4,Yes,6,Yes,3,8
2022,50-59,Male,43.3,69.03,Middle,3,No,10,2,No,6,Yes,9,3
2024,50-59,Male,46.43,48.61,Middle,5,Yes,3,10,Yes,1,Yes,6,4
2022,40-49,Male,12.31,66.84,Middle,7,No,1,7,Yes,3,Yes,9,2
2024,10-14,Male,42.32,53.23,Middle,9,No,1,1,No,9,Yes,1,6
2023,70-79,Male,43.42,24.05,Low,7,No,8,1,No,6,Yes,7,7
2023,25-29,Female,12.84,62.05,High,1,No,4,8,Yes,5,No,9,4
2024,50-59,Female,40.06,25.7,Low,2,No,5,7,No,4,Yes,6,8
2021,30-39,Male,10.73,62.46,Middle,9,No,3,4,Yes,7,Yes,1,9
2024,40-49,Both,36.57,23.75,Low,5,Yes,2,7,Yes,7,Yes,2,8
2023,20-24,Male,47.1,42.39,Middle,10,No,6,2,Yes,5,Yes,4,9
2021,25-29,Female,8.95,29.03,High,8,No,3,4,No,2,Yes,7,3
2022,40-49,Female,23.4,62.19,Low,4,No,2,5,Yes,4,No,2,6
2023,10-14,Female,21.58,47.48,Middle,8,Yes,10,9,Yes,5,Yes,10,5
2020,70-79,Female,42.04,53.8,Middle,10,Yes,2,6,Yes,3,No,3,5
2024,50-59,Both,44.06,59.42,High,7,No,2,3,No,8,No,8,8
2022,15-19,Both,10.37,56.98,Low,7,Yes,5,1,No,5,Yes,6,5
2020,20-24,Both,41.89,23.7,Low,1,Yes,10,4,No,10,Yes,3,9
2024,25-29,Both,15.9,67.05,High,1,No,6,7,No,7,No,7,4
2020,60-69,Male,42.47,61.03,Middle,3,Yes,9,1,No,3,Yes,3,3
2024,30-39,Female,25.49,35.81,Middle,3,No,8,1,No,1,Yes,9,7
2024,20-24,Both,11.59,25.03,Middle,4,Yes,10,7,Yes,1,Yes,3,4
2024,10-14,Male,37.64,35.53,Low,3,No,6,6,No,2,No,7,2
2024,40-49,Both,41.33,27.78,High,9,Yes,7,4,Yes,8,Yes,7,9
2022,20-24,Both,31.46,25.53,Low,5,Yes,6,7,Yes,5,No,4,10
2024,15-19,Both,33.59,47.62,Low,2,Yes,3,6,No,8,Yes,1,7
2021,15-19,Both,20.13,43.78,Middle,9,Yes,9,2,Yes,9,Yes,3,4
2021,80+,Both,42.36,25.81,High,8,Yes,7,1,No,8,Yes,6,1
2022,80+,Female,23.57,40.05,Low,8,Yes,2,2,No,3,No,6,1
2022,20-24,Both,17.64,49.97,Middle,8,Yes,1,10,No,2,No,2,3
2022,30-39,Male,46.46,51.51,High,1,No,3,2,No,1,Yes,1,6
2024,10-14,Female,46.95,20.51,High,2,Yes,5,4,Yes,8,No,3,9
2023,70-79,Male,44.26,60.47,High,5,Yes,9,9,Yes,3,Yes,10,9
2022,15-19,Both,6.4,58.93,Low,5,Yes,8,8,No,10,Yes,4,4
2024,60-69,Both,28.27,10.7,Middle,4,Yes,2,9,Yes,6,No,9,5
2023,60-69,Female,47.73,28.02,Low,4,No,9,6,Yes,7,Yes,2,8
2024,80+,Both,36.47,24.21,High,5,No,3,8,No,7,Yes,5,2
2023,25-29,Male,9.08,27.69,High,2,Yes,8,6,No,9,No,2,2
2024,50-59,Both,28.23,11.85,Low,5,No,6,8,Yes,2,Yes,10,2
2020,25-29,Both,23.25,40.68,Middle,3,Yes,1,2,No,8,No,9,7
2023,30-39,Male,10.23,45.32,High,2,Yes,5,5,Yes,8,No,3,9
2024,50-59,Both,27.5,27.31,Low,3,No,8,3,Yes,1,No,1,6
2021,40-49,Both,36.14,66.72,Low,4,No,9,8,Yes,5,Yes,5,4
2023,30-39,Female,25.42,57.8,Middle,9,Yes,4,3,Yes,1,Yes,9,5
2020,25-29,Female,14.17,11.3,Middle,6,Yes,1,5,No,3,No,10,1
2021,15-19,Male,23.74,30.15,Low,1,Yes,1,6,No,7,Yes,3,3
2023,70-79,Female,46.31,22.28,High,10,No,5,2,Yes,9,Yes,1,3
2023,10-14,Female,35.42,22.07,Low,5,No,2,9,Yes,5,No,7,5
2020,15-19,Female,16.26,60.73,Middle,5,Yes,10,3,No,5,Yes,7,5
2021,60-69,Male,20.16,30.6,Low,9,No,10,7,Yes,3,Yes,9,7
2021,70-79,Male,49.36,43.08,Low,3,Yes,10,1,No,8,Yes,7,5
2020,50-59,Both,30.36,37.09,Low,1,Yes,8,7,Yes,3,Yes,2,10
2021,25-29,Both,13.11,55.6,High,5,Yes,7,6,No,3,Yes,4,6
2021,70-79,Both,7.01,10.42,Middle,1,No,6,6,Yes,8,Yes,6,7
2022,40-49,Female,18.35,56.88,Low,6,No,2,4,No,6,No,7,6
2024,15-19,Male,36.4,19.54,High,6,Yes,2,6,Yes,10,Yes,4,4
2023,10-14,Male,27.02,64.15,Low,5,Yes,9,7,Yes,7,No,8,10
2021,60-69,Male,30.73,31.8,High,7,No,2,7,Yes,3,Yes,5,9
2024,80+,Male,17.21,54.42,Low,7,Yes,9,2,Yes,9,Yes,2,3
2024,60-69,Female,16.44,50.91,High,7,No,10,4,No,3,No,6,8
2023,70-79,Male,12.15,33.12,Middle,6,Yes,10,2,Yes,6,Yes,10,9
2024,60-69,Female,9.47,48.49,Middle,3,Yes,3,3,No,10,Yes,1,5
2020,25-29,Both,21.66,31.01,High,10,No,1,7,Yes,8,Yes,5,5
2023,15-19,Female,43.12,10.08,High,5,No,3,1,No,6,Yes,7,4
2023,50-59,Male,7.43,33.45,High,8,Yes,10,9,No,5,Yes,10,2
2021,40-49,Both,31.63,40.27,Middle,10,Yes,10,5,Yes,10,No,7,2
2022,20-24,Male,47.7,22.01,Middle,1,No,10,1,No,9,Yes,8,4
2023,30-39,Male,35.5,17.82,Low,6,Yes,10,4,Yes,1,Yes,2,9
2020,80+,Female,44.77,31.57,Low,2,Yes,3,7,No,4,No,2,1
2021,40-49,Male,30.77,36.26,High,5,Yes,2,2,No,1,No,9,4
2021,60-69,Female,13.56,69.24,High,5,No,4,6,No,1,Yes,9,3
2022,80+,Male,35.73,30.68,Low,3,Yes,3,4,Yes,9,No,9,9
2024,20-24,Male,39.21,23.56,Middle,8,Yes,5,1,No,10,Yes,1,8
2023,70-79,Both,42.69,63.01,Low,1,No,10,6,Yes,4,Yes,2,6
2023,25-29,Both,27.92,44.08,High,3,Yes,2,2,Yes,5,Yes,3,1
2024,20-24,Male,46.55,48.27,Middle,2,No,10,1,No,4,Yes,8,10
2023,70-79,Male,13.61,64.12,Middle,7,No,3,9,No,1,No,1,10
2023,40-49,Both,43.62,22.4,Middle,10,No,2,4,Yes,9,No,1,7
2024,40-49,Male,5.8,47.73,High,3,No,3,4,No,5,Yes,5,7
2024,15-19,Female,37.67,25.38,Low,10,No,9,2,Yes,10,Yes,5,5
2020,50-59,Male,18.24,10.07,Low,2,Yes,4,2,No,10,No,8,2
2020,40-49,Female,38.12,52.6,High,10,No,6,10,Yes,9,No,9,5
2020,10-14,Both,26.52,29.79,Low,2,Yes,5,5,No,4,Yes,4,2
2020,15-19,Male,14.93,45.02,Middle,4,No,6,5,Yes,4,No,1,3
2024,20-24,Male,37.98,17.58,Low,1,No,2,1,No,7,Yes,4,2
2021,40-49,Male,9.58,13.31,Low,1,Yes,1,5,Yes,9,Yes,6,9
2022,30-39,Both,38.81,66.79,Low,7,No,2,9,No,9,Yes,4,5
2020,60-69,Both,27.09,23.12,High,8,No,1,5,Yes,10,No,1,2
2022,80+,Male,35.1,36.97,Low,3,No,9,5,No,8,Yes,1,7
2020,80+,Male,15.85,66.74,High,3,No,1,2,No,6,No,2,6
2022,25-29,Male,11.04,54.97,Low,4,No,6,8,No,7,Yes,9,2
2024,25-29,Male,33.11,35.66,Middle,3,No,7,8,Yes,3,No,1,7
2024,50-59,Female,17.78,50.79,Low,8,Yes,3,4,Yes,4,Yes,3,9
2020,15-19,Male,20.29,41.93,Middle,5,No,8,6,Yes,8,No,4,8
2024,80+,Both,49.42,38.21,High,1,No,2,10,Yes,8,Yes,1,1
2022,15-19,Male,23.34,61.88,Low,1,Yes,5,7,No,7,No,7,3
2022,80+,Both,43.33,35.73,High,9,No,3,3,No,7,No,9,4
2022,25-29,Both,37.28,57.75,Low,3,Yes,1,4,Yes,9,Yes,6,1
2022,50-59,Male,8.86,54.8,High,4,No,3,6,No,7,Yes,6,3
2021,25-29,Female,38.44,20.96,High,8,No,6,2,No,5,Yes,4,1
2021,80+,Male,44.22,18.0,Middle,10,No,5,1,No,6,Yes,5,4
2021,80+,Both,29.89,58.65,Middle,1,Yes,1,10,No,8,No,9,9
2020,20-24,Both,44.87,66.02,Middle,10,Yes,7,5,No,8,No,8,5
2021,50-59,Male,18.09,28.22,Middle,10,No,10,2,No,7,Yes,9,4
2022,15-19,Both,15.61,16.48,Low,8,No,9,3,No,6,Yes,8,7
2020,15-19,Both,43.68,11.0,Middle,6,No,6,5,No,1,No,2,7
2022,80+,Male,11.1,46.57,High,4,Yes,4,7,No,3,No,4,4
2020,80+,Male,25.58,12.78,Low,1,Yes,2,10,Yes,8,No,4,8
2020,10-14,Both,12.25,13.93,Middle,10,No,3,2,No,6,Yes,5,4
2024,15-19,Female,19.95,45.71,Low,10,Yes,6,8,No,6,No,1,3
2020,70-79,Male,41.9,65.59,Middle,4,No,10,5,Yes,1,No,5,7
2021,10-14,Both,27.2,18.45,Middle,9,No,2,2,Yes,10,No,8,4
2023,15-19,Male,19.8,10.52,Low,5,Yes,5,10,Yes,2,No,4,3
2022,40-49,Male,11.1,47.17,Middle,7,No,4,5,Yes,9,Yes,3,5
2021,50-59,Female,28.92,46.39,Middle,7,Yes,2,7,Yes,2,No,4,5
2024,50-59,Both,34.4,32.16,Low,2,Yes,2,5,Yes,7,No,7,6
